01_one-nanopub,http://ldf.nanopubs.lod.labs.vu.nl/np,0.90,1
01_one-nanopub,http://ldf.np.scify.org/np,1.15,1
01_one-nanopub,http://130.60.24.146:7882/np,0.87,1
01_one-nanopub,https://openphacts.cs.man.ac.uk/nanopub/ldf/np,1.04,1
01_one-nanopub,http://ldf.np.dumontierlab.com/np,0.99,1
01_one-nanopub,https://ldf.nanopubs.knows.idlab.ugent.be/np,0.87,1
02_get_all_users,http://ldf.nanopubs.lod.labs.vu.nl/np,9.69,25
02_get_all_users,http://ldf.np.scify.org/np,27.36,25
02_get_all_users,http://130.60.24.146:7882/np,15.13,25
02_get_all_users,https://openphacts.cs.man.ac.uk/nanopub/ldf/np,12.34,25
02_get_all_users,http://ldf.np.dumontierlab.com/np,10.71,25
02_get_all_users,https://ldf.nanopubs.knows.idlab.ugent.be/np,12.91,25
03_get_backlinks,http://ldf.nanopubs.lod.labs.vu.nl/np,0.85,2
03_get_backlinks,http://ldf.np.scify.org/np,1.15,2
03_get_backlinks,http://130.60.24.146:7882/np,0.93,2
03_get_backlinks,https://openphacts.cs.man.ac.uk/nanopub/ldf/np,0.91,2
03_get_backlinks,http://ldf.np.dumontierlab.com/np,0.90,2
03_get_backlinks,https://ldf.nanopubs.knows.idlab.ugent.be/np,0.98,2
04_get_nanopub_count,http://ldf.nanopubs.lod.labs.vu.nl/np,60.03,0
04_get_nanopub_count,http://ldf.np.scify.org/np,60.01,0
04_get_nanopub_count,http://130.60.24.146:7882/np,60.01,0
04_get_nanopub_count,https://openphacts.cs.man.ac.uk/nanopub/ldf/np,60.01,0
04_get_nanopub_count,http://ldf.np.dumontierlab.com/np,60.02,0
04_get_nanopub_count,https://ldf.nanopubs.knows.idlab.ugent.be/np,60.02,0
